"# value_kind: derived=floor_sm_point,floor_sm_ci_low,floor_sm_ci_high,flat_region_bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,n_sm_points,memory_gap"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,n_sm_points__metadata,memory_gap__metadata,floor_sm_point__derived,floor_sm_ci_low__derived,floor_sm_ci_high__derived,flat_region_bw_util_pct__derived
falcon_h1_3b,verified,ssm,8,1024,8,False,27,27,27,0.013
falcon_h1_3b,verified,ssm,8,4096,8,False,40,27,40,0.013
falcon_h1_3b,verified,ssm,8,16384,8,False,40,27,40,0.013
falcon_h1_3b,verified,ssm,32,1024,8,False,81,81,81,0.046
falcon_h1_3b,verified,ssm,32,4096,8,False,81,81,81,0.046
falcon_h1_3b,verified,ssm,32,16384,8,False,81,81,81,0.047
falcon_h1_3b,verified,ssm,128,1024,8,False,81,81,81,0.064
falcon_h1_3b,verified,ssm,128,4096,8,False,81,81,81,0.064
falcon_h1_3b,verified,ssm,128,16384,8,False,81,81,81,0.064
falcon_h1_3b,verified,ssm,256,1024,8,False,81,81,81,0.068
falcon_h1_3b,verified,ssm,256,4096,8,False,81,81,81,0.068
falcon_h1_3b,verified,ssm,256,16384,8,False,81,81,81,0.068
falcon_h1_3b,verified,attn,8,1024,8,False,68,68,81,6.366
falcon_h1_3b,verified,attn,8,4096,8,False,68,68,68,11.841
falcon_h1_3b,verified,attn,8,16384,8,False,68,68,68,14.986
falcon_h1_3b,verified,attn,32,1024,8,False,81,81,81,9.327
falcon_h1_3b,verified,attn,32,4096,8,False,81,81,81,10.991
falcon_h1_3b,verified,attn,32,16384,8,False,81,81,81,11.365
falcon_h1_3b,verified,attn,128,1024,8,False,108,108,108,12.436
falcon_h1_3b,verified,attn,128,4096,8,False,108,108,108,13.869
falcon_h1_3b,verified,attn,128,16384,8,False,108,108,108,13.891
falcon_h1_3b,verified,attn,256,1024,8,False,108,108,108,12.775
falcon_h1_3b,verified,attn,256,4096,8,False,108,108,108,13.577
falcon_h1_3b,verified,attn,256,16384,8,False,108,108,108,14.035
